dataset,split,input_path,target_path,category,illumination_level
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00001.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00002.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00003.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00004.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00005.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00006.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00007.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00008.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00009.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00010.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00011.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00012.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00013.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00014.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00015.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00016.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00017.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00018.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00019.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00020.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00021.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00022.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00023.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00024.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00025.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00026.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00027.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00028.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00029.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00030.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00031.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00032.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00033.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00034.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00035.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00036.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00037.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00038.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00039.png,,bicycle,
ex_dark,test,data/preprocessed/ex_dark/bicycle/2015_00040.png,,bicycle,
